X	CH1	CH2
-0.000336	-0.184	0.8
-0.000332	-0.224	1.44
-0.000328	-0.248	1.84
-0.000324	-0.224	1.92
-0.00032	-0.16	1.84
-0.000316	-0.0879	1.52
-0.000312	0	1.04
-0.000308	0.112	0.16
-0.000304	0.192	-0.72
-0.0003	0.24	-1.36
-0.000296	0.272	-1.84
-0.000292	0.256	-2
-0.000288	0.216	-2
-0.000284	0.152	-1.76
-0.00028	0.056	-1.36
-0.000276	-0.056	-0.56
-0.000272	-0.128	0.4
-0.000268	-0.2	1.04
-0.000264	-0.248	1.52
-0.00026	-0.24	1.84
-0.000256	-0.208	1.92
-0.000252	-0.144	1.84
-0.000248	-0.056	1.36
-0.000244	0.032	0.72
-0.00024	0.128	-0.16
-0.000236	0.216	-0.88
-0.000232	0.256	-1.44
-0.000228	0.264	-1.92
-0.000224	0.256	-2
-0.00022	0.2	-2
-0.000216	0.104	-1.68
-0.000212	0.024	-1.12
-0.000208	-0.072	-0.24
-0.000204	-0.16	0.56
-0.0002	-0.208	1.2
-0.000196	-0.248	1.68
-0.000192	-0.24	1.84
-0.000188	-0.184	1.92
-0.000184	-0.128	1.68
-0.00018	-0.024	1.2
-0.000176	0.0799	0.4
-0.000172	0.16	-0.48
-0.000168	0.224	-1.2
-0.000164	0.264	-1.76
-0.00016	0.264	-2
-0.000156	0.232	-2
-0.000152	0.184	-1.92
-0.000148	0.0879	-1.52
-0.000144	-0.008	-0.8
-0.00014	-0.104	0.0799
-0.000136	-0.184	0.8
-0.000132	-0.24	1.44
-0.000128	-0.24	1.76
-0.000124	-0.232	1.92
-0.00012	-0.168	1.84
-0.000116	-0.0879	1.52
-0.000112	0	0.96
-0.000108	0.104	0.16
-0.000104	0.192	-0.72
-0.0001	0.24	-1.36
-0.000096	0.272	-1.84
-0.000092	0.256	-2
-0.000088	0.216	-2
-0.000084	0.152	-1.84
-0.00008	0.056	-1.28
-0.000076	-0.04	-0.48
-0.000072	-0.128	0.32
-0.000068	-0.208	1.04
-0.000064	-0.24	1.6
-0.00006	-0.24	1.84
-0.000056	-0.216	1.92
-0.000052	-0.144	1.76
-0.000048	-0.056	1.44
